Land,Kreis,land_kreis,SUM of insgesamt,SUM of männlich,SUM of weiblich
16,52,1652,92126,44474,47652
16,53,1653,110731,55374,55357
16,54,1654,36395,17887,18508
16,55,1655,65098,31439,33659
16,56,1656,41970,20666,21304
16,61,1661,99463,49830,49633
16,62,1662,82456,40960,41496
16,63,1663,117967,59094,58873
16,64,1664,101698,50427,51271
16,65,1665,73522,36493,37029
16,66,1666,124241,62110,62131
16,67,1667,134563,66977,67586
16,68,1668,69107,34504,34603
16,69,1669,62656,31343,31313
16,70,1670,105606,52985,52621
16,71,1671,82291,40740,41551
16,72,1672,57044,28071,28973
16,73,1673,102139,50306,51833
16,74,1674,82816,41139,41677
16,75,1675,79632,39579,40053
16,76,1676,96668,47659,49009
16,77,1677,88356,43215,45141
